Ref,Val,Package,PosX,PosY,Rot,Side
C1,10uF 50V X7R 1210,C_1210_3225Metric,17.853000,-40.046000,0.000000,top
C2,22uF,C_0805_2012Metric,25.364000,-48.823000,0.000000,top
C3,100nF,C_0402_1005Metric,14.352000,-40.039000,180.000000,top
C6,100nF,C_0402_1005Metric,44.971000,-43.260000,0.000000,top
C7,100nF,C_0402_1005Metric,45.188000,-35.851000,0.000000,top
C8,100nF,C_0402_1005Metric,44.859000,-41.446000,0.000000,top
C9,100nF,C_0402_1005Metric,38.567000,-41.899000,0.000000,top
C10,100nF,C_0402_1005Metric,44.935000,-39.573000,0.000000,top
C11,2.2uF,C_0603_1608Metric,25.588000,-30.423000,180.000000,top
C12,2.2uF,C_0603_1608Metric,24.537000,-27.281000,-90.000000,top
C13,1uF,C_0603_1608Metric,37.760000,-39.819000,0.000000,top
C14,10nF,C_0402_1005Metric,44.938000,-37.736000,0.000000,top
C15,4.7uF,C_0805_2012Metric,48.503000,-40.243000,0.000000,top
C16,100nF,C_0402_1005Metric,47.662000,-37.819000,0.000000,top
C17,10pF,C_0402_1005Metric,33.119000,-39.216000,0.000000,top
C18,10pF,C_0402_1005Metric,33.179000,-41.144000,0.000000,top
C19,100nF,C_0402_1005Metric,44.731000,-28.972000,-90.000000,top
C20,100nF,C_0402_1005Metric,45.095000,-31.707000,-90.000000,top
C21,100nF,C_0402_1005Metric,46.079000,-34.041000,0.000000,top
C22,100nF,C_0402_1005Metric,18.500000,-26.000000,0.000000,top
C23,7.5nF,C_0402_1005Metric,13.500000,-51.000000,0.000000,top
C24,10nF,C_0402_1005Metric,16.500000,-51.000000,0.000000,top
C25,10uF 16V,C_0805_2012Metric,19.000000,-8.000000,0.000000,top
C26,22uF 16V,C_0805_2012Metric,7.000000,-14.000000,0.000000,top
C27,10uF 16V,C_0805_2012Metric,49.350000,-58.000000,180.000000,top
D1,SS34,D_SMA,13.000000,-14.000000,0.000000,top
D2,1N4148W,D_SOD-123,51.000000,-54.800000,0.000000,top
J1,BATT_4S,PinHeader_1x02_P2.54mm_Vertical,6.000000,-30.000000,90.000000,top
J2,BOOT0_JUMPER,PinHeader_1x02_P2.54mm_Vertical,30.000000,-12.000000,0.000000,top
J3,USB-C,USB_C_Receptacle_Amphenol_12401548E4-2A,74.000000,-30.000000,90.000000,top
J4,CRSF_UART,PinHeader_1x04_P2.54mm_Vertical,30.000000,-47.000000,0.000000,top
J5,DSHOT_M1-M4,PinHeader_1x05_P2.54mm_Vertical,40.000000,-47.000000,0.000000,top
J6,SWD,PinHeader_1x05_P2.54mm_Vertical,62.000000,-47.000000,0.000000,top
J7,RX_PWR_5V,PinHeader_1x02_P2.54mm_Vertical,71.000000,-48.000000,90.000000,top
J8,TELEM_TX,PinHeader_1x03_P2.54mm_Vertical,71.500000,-56.000000,90.000000,top
J9,EXPANSION_BUS,PinHeader_1x14_P2.54mm_Vertical,43.000000,-7.000000,90.000000,top
J10,BUZZER,PinHeader_1x02_P2.54mm_Vertical,55.000000,-58.000000,90.000000,top
L1,10uH,L_1210_3225Metric,20.100000,-44.700000,-90.000000,top
L2,10uH,L_1210_3225Metric,13.000000,-8.000000,0.000000,top
Q1,AO3400A,SOT-23,51.000000,-51.500000,0.000000,top
R1,31.6k,R_0402_1005Metric,22.277000,-48.626000,90.000000,top
R2,10.0k,R_0402_1005Metric,27.000000,-40.000000,0.000000,top
R3,10k,R_0402_1005Metric,48.423000,-43.527000,0.000000,top
R4,10k,R_0402_1005Metric,26.642000,-27.813000,-90.000000,top
R5,22R,R_0402_1005Metric,53.500000,-29.500000,180.000000,top
R6,22R,R_0402_1005Metric,53.500000,-27.500000,180.000000,top
R7,5.1k,R_0402_1005Metric,56.500000,-35.500000,-90.000000,top
R8,5.1k,R_0402_1005Metric,56.500000,-32.500000,-90.000000,top
R9,75.0k,R_0402_1005Metric,18.500000,-29.000000,90.000000,top
R10,10.0k,R_0402_1005Metric,18.500000,-32.500000,90.000000,top
R11,2k,R_0402_1005Metric,10.000000,-51.000000,0.000000,top
R12,73.2k,R_0603_1608Metric,19.000000,-14.000000,0.000000,top
R13,10.0k,R_0603_1608Metric,19.000000,-18.500000,0.000000,top
R14,100R,R_0402_1005Metric,47.000000,-51.000000,0.000000,top
R15,10k,R_0402_1005Metric,47.000000,-54.500000,0.000000,top
U1,STM32F405RGT6,LQFP-64_10x10mm_P0.5mm,35.000000,-30.000000,0.000000,top
U2,TPS54336ADDA,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm,14.000000,-45.000000,0.000000,top
U4,MPU-6000,InvenSense_QFN-24_4x4mm_P0.5mm,48.000000,-22.000000,0.000000,top
U5,USBLC6-2SC6,SOT-23-6,65.000000,-24.000000,0.000000,top
U6,MT3608,SOT-23-6,7.000000,-8.000000,0.000000,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,23.600000,-34.000000,0.000000,top
